      pressure observation  flag
888            1009.409973  b'Z'
889            1009.380005  b'Z'
890            1009.320007  b'Z'
891            1009.359985  b'Z'
892            1009.510010  b'Z'
893            1009.619995  b'Z'
894            1009.719971  b'Z'
895            1009.780029  b'Z'
896            1009.750000  b'Z'
897            1009.650024  b'Z'
898            1009.590027  b'Z'
899            1009.669983  b'Z'
900            1009.729980  b'Z'
901            1009.760010  b'Z'
902            1009.789978  b'Z'
903            1009.840027  b'Z'
904            1009.909973  b'Z'
905            1009.869995  b'Z'
906            1009.789978  b'Z'
907            1009.789978  b'Z'
908            1009.799988  b'Z'
909            1009.840027  b'Z'
910            1009.809998  b'Z'
911            1009.840027  b'Z'
912            1009.880005  b'Z'
913            1009.929993  b'Z'
914            1009.880005  b'Z'
915            1009.849976  b'Z'
916            1009.859985  b'Z'
917            1009.869995  b'Z'
918            1009.849976  b'Z'
919            1009.869995  b'Z'
920            1009.799988  b'Z'
921            1009.809998  b'Z'
922            1009.820007  b'Z'
923            1009.900024  b'Z'
924            1009.799988  b'Z'
925            1009.739990  b'Z'
926            1009.780029  b'Z'
927            1009.760010  b'Z'
928            1009.719971  b'Z'
929            1009.669983  b'Z'
930            1009.679993  b'Z'
931            1009.700012  b'Z'
932            1009.690002  b'Z'
933            1009.679993  b'Z'
934            1009.650024  b'Z'
935            1009.690002  b'Z'
936            1009.750000  b'Z'
937            1009.710022  b'Z'
938            1009.690002  b'Z'
939            1009.669983  b'Z'
940            1009.679993  b'Z'
941            1009.619995  b'Z'
942            1009.609985  b'Z'
943            1009.619995  b'Z'
944            1009.580017  b'Z'
945            1009.710022  b'Z'
946            1009.669983  b'Z'
947            1009.669983  b'Z'
948            1009.679993  b'Z'
949            1009.640015  b'Z'
950            1009.599976  b'Z'
951            1009.570007  b'Z'
952            1009.539978  b'Z'
953            1009.530029  b'Z'
954            1009.520020  b'Z'
955            1009.500000  b'Z'
956            1009.489990  b'Z'
957            1009.559998  b'Z'
958            1009.510010  b'Z'
959            1009.559998  b'Z'
960            1009.570007  b'Z'
961            1009.580017  b'Z'
962            1009.549988  b'Z'
963            1009.549988  b'Z'
964            1009.530029  b'Z'
965            1009.559998  b'Z'
966            1009.570007  b'Z'
967            1009.530029  b'Z'
968            1009.460022  b'Z'
969            1009.440002  b'Z'
970            1009.390015  b'Z'
971            1009.289978  b'Z'
972            1009.219971  b'Z'
973            1009.190002  b'Z'
974            1009.150024  b'Z'
975            1009.130005  b'Z'
976            1009.090027  b'Z'
977            1009.070007  b'Z'
978            1009.070007  b'Z'
979            1009.059998  b'Z'
980            1009.070007  b'Z'
981            1009.150024  b'Z'
982            1009.330017  b'Z'
983            1009.330017  b'Z'
984            1009.349976  b'Z'
985            1009.380005  b'Z'
986            1009.400024  b'Z'
987            1009.409973  b'Z'
988            1009.450012  b'Z'
989            1009.469971  b'Z'
990            1009.500000  b'Z'
991            1009.530029  b'Z'
992            1009.520020  b'Z'
993            1009.530029  b'Z'
994            1009.500000  b'Z'
